04D1aj      0.71962600.7210000023.89868700.0956650 0.39144700.3565840-0.03357100.0665720 6.0000000 5.000000052998.96202800.5605320 0.0050520-0.0002370 0.00131601 36.4748350 -4.9946100-0.0054020
04D1dc      0.21003200.2110000021.05677900.0857650-1.23625600.0616480-0.00267400.025159010.6350000 0.041500053230.68028200.1599060-0.0001080 0.0005980-0.00020501 36.5769350 -4.3119680-0.0009620
04D1de      0.76659000.7680000024.13202600.0966410 0.90582100.2438460-0.11876900.0558060 9.6400000 0.166500053245.99747800.2437000 0.0042240-0.0001400-0.00046501 36.6496210 -4.4226230-0.0088770
04D1ff      0.85851300.8600000024.24611500.1015790 0.72806000.2770440 0.04713100.0575660 8.7300000 0.304500053251.19365500.3344700 0.0049690-0.0006900 0.00072001 36.4109240 -4.9026310-0.0172060
04D1hd      0.36790400.3690000022.15662100.0860820 0.78897500.0681290-0.09207300.0220910 8.1990000 0.090500053268.29756500.0814650 0.0000720 0.0004380-0.00014901 36.5368080 -4.1096340 0.0001250
04D1hx      0.55874600.5600000023.69998300.0895730 0.28513000.1918090 0.11168300.0354760 9.6450000 0.133500053260.05944800.2670030 0.0013490 0.0005240 0.00006801 36.1770630 -4.7903260 0.0012620
04D1hy      0.84850900.8500000024.29532900.1005200 1.15118400.2759750-0.05423800.0554010 8.0860000 0.825500053264.64091600.3935700 0.0032840-0.0007530 0.00035501 36.0362260 -4.8310710-0.0162260
04D1iv      0.99639000.9980000024.61767200.1124830 1.27336000.3433060-0.13106300.0514860 9.0340000 0.450000053264.47252700.4741940 0.0062600-0.0015080 0.00169701 36.2002120 -4.1525590-0.0309890
04D1jd      0.77659400.7780000024.39776800.0983660 0.13522000.2865340 0.09925900.070323010.3800000 0.147500053259.20350500.4514050 0.0034880-0.0006440 0.00203801 36.9618180 -4.9437900-0.0096950
04D1jg      0.58293200.5842000023.27324600.0901200 0.26515600.1589450-0.10461800.033952011.3380000 0.150500053273.56649700.2128520 0.0014920 0.0003690 0.00047801 36.5523190 -4.1348000 0.0007930
04D1kj      0.58374300.5850000023.33579800.0894950 0.21814500.1260280-0.06276400.0297280 9.9290000 0.107500053297.24628600.1668590 0.0008040 0.0003600-0.00002001 36.9694170 -4.1802520 0.0007740
04D1ks      0.79655200.7980000024.12891700.0984130 0.69864100.2633200 0.09425300.0620320 7.9660000 0.719000053291.39043400.3823330 0.0031760-0.0005390 0.00149701 36.0396490 -4.9787210-0.0114000
04D1oh      0.58872100.5900000023.39641400.0912110-0.06678200.2066700-0.06892200.0332460 9.1700000 0.152500053308.27460000.2043090 0.0031060 0.0003970 0.00062301 36.2598400 -4.2361870 0.0006530
04D1ow      0.91347300.9150000024.34396700.1047510-0.04407000.2858620-0.16073800.0521630 9.3970000 1.373500053311.74572800.3413310 0.0055160-0.0008090 0.00106701 36.6778990 -4.3061900-0.0227520
04D1pc      0.76858700.7700000024.54617600.0972740-0.33416400.3388800 0.08515900.063616010.4180000 0.179500053324.79175100.4614410 0.0042370-0.0000620 0.00350501 36.6036500 -4.3994000-0.0090390
04D1pd      0.94845500.9500000024.67734400.1122130 0.18261100.4222310 0.04127800.060796010.2150000 0.114500053318.50439900.6751280 0.0104990-0.0015290 0.00254001 36.9156330 -4.6311720-0.0263100
04D1pg      0.51379300.5150000023.57255400.0900870 0.98596400.1960130 0.10297600.0357850 9.8080000 0.161000053326.88772000.2431450 0.0026560 0.0006950 0.00128401 36.7673290 -4.1752870 0.0016780
04D1pp      0.73360900.7350000023.98538000.0944330-1.34455000.2226270-0.11685700.052643011.3820000 0.089500053320.36513700.3423050 0.0017880 0.0001850 0.00037501 36.3019930 -4.7015840-0.0063710
04D1pu      0.63770100.6390000024.01214200.1007580-1.61106800.3772610 0.10674400.0829630 9.3140000 0.239500053330.12527300.4924200 0.0092870 0.0017950 0.00654901 36.8686410 -4.7449340-0.0009580
